STNAME,TOT_POP,EAST_ASIAN_POP
Alabama,4830620,10866
Alaska,733375,10479
Arizona,6641928,33381
Arkansas,2958208,10735
California,38421464,664314
Colorado,5278906,32497
Connecticut,3593222,25433
Delaware,926454,4152
District of Columbia,647484,3385
Florida,19645772,77547
Georgia,10006693,60358
Hawaii,1406299,143047
Idaho,1616547,5287
Illinois,12873761,81929
Indiana,6568645,24946
Iowa,3093526,17150
Kansas,2892987,18904
Kentucky,4397353,12735
Louisiana,4625253,10169
Maine,1329100,3158
Maryland,5930538,57748
Massachusetts,6705586,69638
Michigan,9900571,46779
Minnesota,5419171,117078
Mississippi,2988081,2969
Missouri,6045448,18857
Montana,1014699,1613
Nebraska,1869365,10626
Nevada,2798636,33960
New Hampshire,1324201,7388
New Jersey,8904413,66489
New Mexico,2084117,4571
New York,19673174,246635
North Carolina,9845333,53251
North Dakota,721640,2208
Ohio,11575977,35011
Oklahoma,3849733,19583
Oregon,3939233,31122
Pennsylvania,12779559,62915
Rhode Island,1053661,12775
South Carolina,4777576,13337
South Dakota,843190,4208
Tennessee,6499615,23417
Texas,26538614,189046
Utah,2903379,17285
Vermont,626604,2637
Virginia,8256630,91467
Washington,6985464,92059
West Virginia,1851420,2067
Wisconsin,5742117,70975
Wyoming,579679,814
